time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n
9.33,295.5615586877248,-21.93614192352465,-4952.436396519383,53.57545975481258,5.294189383521772,-1.6337410341490348,-0.3694710467333744,0.4111545311012601,-0.3393414377695789,-0.4089239909821749,-0.7611295177768276,3.761825368784807,73.92821450717568,-201.49246595243685,-3.881240745357772,59.45701890715137,12.279593872052255,66.4504378564354
9.34,296.0229402593466,-22.075680503532773,-4952.678865862114,53.829599757185214,3.127931067011877,-1.9858897996716636,-0.3653456263022177,0.4054831149165301,-0.2980850847119423,0.41254204311567066,-0.5671416184729916,4.1256353057636685,74.15840115941643,-173.27622295435816,37.37872868250697,61.49907320227253,21.777844319380208,53.889784067278846
9.35,296.48825569300516,-22.219464995509142,-4952.913645697827,54.014353606561905,0.7708870407181467,-2.235034573575972,-0.352938534113195,0.40277625929557614,-0.2539170084890938,1.2407092189022686,-0.27068556209539507,4.416807622284849,73.6665913357512,-140.8422657470754,75.9542521179489,63.31493649965095,30.034313163190586,40.92566143250311
9.36,296.95808270696,-22.36644370402386,-4953.140041093426,54.1077895719124,-1.7376695301255398,-2.2973901962243763,-0.3322445381454302,0.4038997184160913,-0.20759157074752643,2.069399596776489,0.11234591205151961,4.632543774156745,71.98101204289623,-104.62782398327485,102.75969066574737,64.98952114541387,36.19403706160029,27.755789768817102
9.370000000000001,297.43274761797466,-22.515457160090158,-4953.357850575027,54.094189334750304,-4.3509874002151285,-2.1012305895565597,-0.3033107495044167,0.40947861967354915,-0.1598829255725991,2.8933788641013436,0.5578901257457904,4.770864517492722,70.7487445520055,-65.12951443358662,109.3536298058697,66.53290322711041,39.54444635479839,14.577625177516994
9.38,297.91233227144465,-22.664213437952235,-4953.567763598872,53.96231352320005,-6.889387521779945,-1.5932780886770792,-0.2668237380532035,0.41983145550120926,-0.11978312450209394,3.6487011451213283,1.035283582766012,4.009980107050496,70.37947895979406,113.47261771601808,88.30339117725303,72.83631614183662,39.55075268052182,-142.08202867237898
9.39,298.39584255129324,-22.811553994486296,-4953.771958974606,53.76665265373805,-8.96947626746623,-0.7532435187520345,-0.2246276783432528,0.43449336574569974,-0.08781378036776033,4.21960597099507,1.4661910244490515,3.1969344134333784,70.51797849702416,156.11557254126168,32.99827931356025,58.93632826908385,34.89577440856544,-148.19263546656748
9.4,298.882122348956,-22.95676423498441,-4953.97291384195,53.554064335956504,-10.545255644660333,0.3590531791522651,-0.17816340530943964,0.45235414264172924,-0.06428836021680207,4.646427303381323,1.7860776896029424,2.3525420150958105,69.42756353900029,192.3780682316186,-59.95186296054574,47.485262283174364,24.60433237405024,-151.16392211825516
9.41,299.3698934439858,-23.09952933775435,-4954.1731457856085,53.35726244784529,-11.58738380122147,1.6396799944880602,-0.1286332177418852,0.4720330549175418,-0.04931922360939156,4.953018756755453,1.9678912275812392,1.4969136607410625,63.46191528086027,221.17761906228017,-182.45481884210662,37.15674782471166,12.342010543915809,-151.09895451019617
9.42,299.8578055742069,-23.239797082986172,-4954.374989938959,53.196546562211495,-12.08516009254624,2.9698204493397258,-0.07712169351179043,0.4919908032280862,-0.04282683739525339,5.151152423009474,1.9957748310544576,0.6492386214138239,49.50480059923845,241.69442173440098,-323.17749775159564,27.166830587007865,-1.0925294355085917,-148.0988341491238
9.43,300.3445340409655,-23.37761767954244,-4954.580408919201,53.08431751184795,-12.04716494207821,4.228687441674979,-0.02465060914794437,0.5107015885575441,-0.04454744633067076,5.247108436384615,1.8710785329457975,-0.17206089354173548,28.053746019625663,253.42646777040966,-467.87544306282877,17.33724291714513,-14.146432412077672,-142.26532069823395
9.44,300.82891367223897,-23.512989371006558,-4954.790844052893,53.027215181673064,-11.500963969538581,5.306877913978279,0.02780666061767878,0.5268104463817114,-0.054045632474486016,5.245726976562322,1.6108857824167047,-0.9498186143815073,1.420400438475724,256.27778659752073,-601.9052655468923,7.840239912855697,-25.387433420721106,-133.77631745304382
9.450000000000001,301.31009689963,-23.645747482350846,-4955.0071231096945,53.02744106630559,-10.491100833693446,6.1166776822043545,0.07934345839163459,0.5392600188601682,-0.07073313000142933,5.153679777395582,1.244957247845679,-1.6687497526943356,-25.8771371946726,250.59809391614883,-712.4889986079874,-0.9262983564954202,-33.680401805359956,-122.91099371688942
9.46,301.7876974596362,-23.775524542692803,-4955.229426799681,53.082245131485294,-9.075370674040013,6.598939902556796,0.1291558564528983,0.5473736548973909,-0.0938944196819218,4.981239806126379,0.8113636037222589,-2.316128968049244,-48.527745096060386,237.16097596739982,-790.4429419060502,-8.50681015741817,-38.31860713322491,-110.05861645913814
9.47,302.26187813598085,-23.901790668928015,-4955.457306273362,53.18243587949676,-7.3198838932384245,6.726280063468084,0.17658677027698655,0.5508884618051302,-0.12271651113229787,4.743091382408832,0.3514806907739405,-2.8822091450375886,-62.111658979668306,217.05695353301445,-830.9574159623163,-14.488094585708188,-39.07563881248971,-95.68429220967131
9.48,302.73325106751935,-24.024430586753493,-4955.689812188217,53.31127392908424,-5.342486214996706,6.502754635052759,0.17829509670213217,0.5499403271156544,-0.15795188416295147,0.1708326425145561,-0.09481346894755949,-3.5235373030653507,-64.34421153501572,138.08854149428043,-833.404223913263,-369.8903723726361,-36.16961920180372,-57.54561335566407
